indexid,part,microfiche-num,theme,cat,subcat,type
121,3,"[5,6,15]",Architecture and Naive Art,Architecture,Exteriors,Hitching Posts
122,3,"[6,16,17,21]",Architecture and Naive Art,Architecture,Gardens,Gardens
123,3,"[6,17]",Architecture and Naive Art,Architecture,Gardens,Garden Ornaments and Metal Sculpture
124,3,"[7,8,17]",Architecture and Naive Art,Architecture,Gardens,Cemetery Art
125,3,"[8,18]",Architecture and Naive Art,Architecture,Waterworks,
126,3,"[8,9,10,11,18]",Architecture and Naive Art,Architecture,Ornamental Iron,
127,3,"[12,18,19,21]",Architecture and Naive Art,Naive Art,Paintings Documents and Prints,
128,3,"[12,19]",Architecture and Naive Art,Naive Art,Valentines and Paper Cuttings,
129,3,"[13,14,15,16,17,18,19]",Architecture and Naive Art,,,Oversize Renderings
130,3,"[20,21]",Architecture and Naive Art,,,Giant Renderings
131,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Adzes Axes and Hatchets
132,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Augers
133,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Bark Peelers
134,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Beehives
135,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Blacksmith Tools
136,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Braces Bits and Drills
137,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Branding Irons and Markers
138,4,[2],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Bristle Removers
139,4,[2],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Brushes and Brush Cutters
140,4,[2],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Carpet Stretchers
141,4,[2],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Chisels
142,4,[3],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Clam Rakes
143,4,[3],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Clamps
144,4,[3],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Combs
145,4,[3],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Corn Planters
146,4,"[3,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Cranberry Pickers
147,4,"[3,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Drawknives and Knives
148,4,"[3,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Firefighting Equipment
149,4,[3],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Fish Spears
150,4,"[3,4]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Flails
151,4,[15],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Frows and Frow Clubs
152,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Gauges
153,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Grain Cradles
154,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Hammers Mallets and Gavels
155,4,"[4,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Hay Forks
156,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Hide Stretchers
157,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Hoes and Picks
158,4,"[4,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Hooks
159,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Jacks
160,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Millstones
161,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Pinkers
162,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Planes
163,4,"[5,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Plows
164,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Potato Planters
165,4,"[5,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Printing Equipment and Stamps
166,4,[15],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Reamers
167,4,"[5,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Saws
168,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Scrapers
169,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Screens
170,4,[15],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Shaving Horses
171,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Shears
172,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Shoemakers and Leather Working Tools
173,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Shovels and Scoops
174,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Sickels
175,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Snow Guards
176,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Splints
177,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Spoke Cutters
178,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Spreader for Rigging
179,4,[15],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Sugar Industry Tools
180,4,"[5,6]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Turpentine Industry Tools
181,4,[6],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Well Beam
182,4,[6],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Wiremaking Machine
183,4,[6],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Wrenches
184,4,"[6,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Yokes
185,4,[6],Tools Hardware Firearms and Vehicles,Hardware,Nails and Pins,
186,4,"[6,15]",Tools Hardware Firearms and Vehicles,Hardware,Bolts Locks and Latches,
187,4,[8],Tools Hardware Firearms and Vehicles,Hardware,Drawer Pulls,
188,4,[8],Tools Hardware Firearms and Vehicles,Hardware,Hinges,
189,4,[9],Tools Hardware Firearms and Vehicles,Hardware,Door Knockers,
190,4,"[9,15]",Tools Hardware Firearms and Vehicles,Hardware,Tiebacks,
191,4,[10],Tools Hardware Firearms and Vehicles,Hardware,Marine Hardware,
192,4,"[10,16]",Tools Hardware Firearms and Vehicles,Armaments and Military Supplies,Firearms,
193,4,"[10,11,16]",Tools Hardware Firearms and Vehicles,Armaments and Military Supplies,Powder Horns and Flasks,
194,4,[11],Tools Hardware Firearms and Vehicles,Armaments and Military Supplies,Ammunition Containers and Bullet Molds,
195,4,[11],Tools Hardware Firearms and Vehicles,Armaments and Military Supplies,Cross Bows,
196,4,"[11,16]",Tools Hardware Firearms and Vehicles,Armaments and Military Supplies,Swords Sabers and Daggers,
197,4,[12],Tools Hardware Firearms and Vehicles,Armaments and Military Supplies,Knapsacks and Canteens,
198,4,"[12,16]",Tools Hardware Firearms and Vehicles,Harness and Saddlery,Collars and Hobbles,
199,4,"[12,16]",Tools Hardware Firearms and Vehicles,Harness and Saddlery,Saddles Bridles and Stirrups,
200,4,[12],Tools Hardware Firearms and Vehicles,Harness and Saddlery,Horse Shoes,
201,4,"[12,16]",Tools Hardware Firearms and Vehicles,Harness and Saddlery,Whips and Whip Sockets,
202,4,[12],Tools Hardware Firearms and Vehicles,Vehicles,Bicycles,
203,4,[13],Tools Hardware Firearms and Vehicles,Vehicles,Baby Carriages,
204,4,"[13,16]",Tools Hardware Firearms and Vehicles,Vehicles,Coaches and Wagons,
205,4,"[13,16]",Tools Hardware Firearms and Vehicles,Vehicles,Sleighs and Sleds,
206,4,[13],Tools Hardware Firearms and Vehicles,Vehicles,Carts and Wheelbarrows,
207,4,"[13,16]",Tools Hardware Firearms and Vehicles,Calibrated Instruments,Barometers Thermometers and Compasses,
208,4,[16],Tools Hardware Firearms and Vehicles,Calibrated Instruments,Octants,
209,4,[13],Tools Hardware Firearms and Vehicles,Calibrated Instruments,Plumblines and Levels,
210,4,[13],Tools Hardware Firearms and Vehicles,Calibrated Instruments,Scales,
211,4,"[14,16]",Tools Hardware Firearms and Vehicles,Machines,,
212,4,"[15,16]",Tools Hardware Firearms and Vehicles,,,Oversize Renderings
213,5,"[1,28]",Domestic Utensils,Fireplace Equipment and Stoves,Fireplace Tools,
214,5,[1],Domestic Utensils,Fireplace Equipment and Stoves,Andirons,
215,5,[1],Domestic Utensils,Fireplace Equipment and Stoves,Firebacks,
216,5,"[2,28]",Domestic Utensils,Fireplace Equipment and Stoves,Gridirons Waffle Irons and Toasters,
217,5,"[2,3,4,5]",Domestic Utensils,Fireplace Equipment and Stoves,Trivets and Flatiron Holders,
218,5,"[5,28]",Domestic Utensils,Fireplace Equipment and Stoves,Ovens and Broilers,
219,5,"[5,6]",Domestic Utensils,Fireplace Equipment and Stoves,Warmers,
220,5,"[6,28]",Domestic Utensils,Fireplace Equipment and Stoves,Stoves and Stove Equipment,
221,5,[7],Domestic Utensils,Fireplace Equipment and Stoves,Match Boxes,
222,5,"[7,8,9,28,29]",Domestic Utensils,Lighting Devices,Candlesticks and Holders,
223,5,"[9,10,29]",Domestic Utensils,Lighting Devices,Chandeliers and Sconces,
224,5,"[10,11,12,13,29]",Domestic Utensils,Lighting Devices,Lamps,
225,5,"[14,15,16,29]",Domestic Utensils,Lighting Devices,Lanterns and Torches,
226,5,[16],Domestic Utensils,Lighting Devices,Lighting Accessories,
227,5,[16],Domestic Utensils,Textile Implements,Spinning and Weaving Implements,
228,5,"[17,18]",Domestic Utensils,Textile Implements,Sewing Tools,
229,5,[18],Domestic Utensils,Domestic Utensils (A-Z),,Apple Peelers
230,5,[18],Domestic Utensils,Domestic Utensils (A-Z),,Asparagus Buncher
231,5,[18],Domestic Utensils,Domestic Utensils (A-Z),,Barrels Buckets Kegs Tubs and Piggins
232,5,"[18,19]",Domestic Utensils,Domestic Utensils (A-Z),,Baskets
233,5,[19],Domestic Utensils,Domestic Utensils (A-Z),,Bottles
234,5,[19],Domestic Utensils,Domestic Utensils (A-Z),,Bowls
235,5,[19],Domestic Utensils,Domestic Utensils (A-Z),,Boxes
236,5,[19],Domestic Utensils,Domestic Utensils (A-Z),,Broom
237,5,"[19,20,29]",Domestic Utensils,Domestic Utensils (A-Z),,Buttermolds and Tubs
238,5,[20],Domestic Utensils,Domestic Utensils (A-Z),,Cans and lars
239,5,[20],Domestic Utensils,Domestic Utensils (A-Z),,Candlemolds
240,5,[20],Domestic Utensils,Domestic Utensils (A-Z),,Cherry Pitters
241,5,"[20,21,29]",Domestic Utensils,Domestic Utensils (A-Z),,Churns
242,5,[21],Domestic Utensils,Domestic Utensils (A-Z),,Clothes Pins
243,5,[21],Domestic Utensils,Domestic Utensils (A-Z),,Clothes Washers
244,5,[21],Domestic Utensils,Domestic Utensils (A-Z),,Coffee and Teapots
245,5,"[21,29]",Domestic Utensils,Domestic Utensils (A-Z),,Coffee Grinders and Mills
246,5,[21],Domestic Utensils,Domestic Utensils (A-Z),,Coffee Roasters
247,5,[21],Domestic Utensils,Domestic Utensils (A-Z),,Compotes
248,5,[21],Domestic Utensils,Domestic Utensils (A-Z),,Cookie Cutters
249,5,[21],Domestic Utensils,Domestic Utensils (A-Z),,Cork Compressors
250,5,"[21,29]",Domestic Utensils,Domestic Utensils (A-Z),,Crimpers
251,5,[21],Domestic Utensils,Domestic Utensils (A-Z),,Cruets
252,5,"[21,22]",Domestic Utensils,Domestic Utensils (A-Z),,Cups Goblets Mugs and Tankards
253,5,[22],Domestic Utensils,Domestic Utensils (A-Z),,Dippers and Ladles
254,5,[22],Domestic Utensils,Domestic Utensils (A-Z),,Dough Bins and Mixers
255,5,[22],Domestic Utensils,Domestic Utensils (A-Z),,Draining Boards
256,5,"[22,29]",Domestic Utensils,Domestic Utensils (A-Z),,Egg Beaters and Cookers
257,5,[22],Domestic Utensils,Domestic Utensils (A-Z),,Flour Bins and Sifters
258,5,[22],Domestic Utensils,Domestic Utensils (A-Z),,Fruit Slicer
259,5,[22],Domestic Utensils,Domestic Utensils (A-Z),,Funnels
260,5,[22],Domestic Utensils,Domestic Utensils (A-Z),,Gourds
261,5,[22],Domestic Utensils,Domestic Utensils (A-Z),,Graters
262,5,"[22,29]",Domestic Utensils,Domestic Utensils (A-Z),,Grinders
263,5,[23],Domestic Utensils,Domestic Utensils (A-Z),,Ice Cream Freezer
264,5,[23],Domestic Utensils,Domestic Utensils (A-Z),,Irons
265,5,"[23,24]",Domestic Utensils,Domestic Utensils (A-Z),,Kettles
266,5,[24],Domestic Utensils,Domestic Utensils (A-Z),,Knives and Forks Knife Sharpeners and Holders
267,5,[24],Domestic Utensils,Domestic Utensils (A-Z),,Mashers
268,5,[25],Domestic Utensils,Domestic Utensils (A-Z),,Measuring Cups
269,5,[25],Domestic Utensils,Domestic Utensils (A-Z),,Molds
270,5,"[25,29]",Domestic Utensils,Domestic Utensils (A-Z),,Mortars and Pestles
271,5,[25],Domestic Utensils,Domestic Utensils (A-Z),,Muffin Pans
272,5,"[25,30]",Domestic Utensils,Domestic Utensils (A-Z),,Nut Crackers
273,5,[25],Domestic Utensils,Domestic Utensils (A-Z),,Pail
274,5,[25],Domestic Utensils,Domestic Utensils (A-Z),,Pan Slider
275,5,[25],Domestic Utensils,Domestic Utensils (A-Z),,Pastry Squeezer
276,5,[25],Domestic Utensils,Domestic Utensils (A-Z),,Pill Coater
277,5,"[25,26]",Domestic Utensils,Domestic Utensils (A-Z),,Pitcher
278,5,[26],Domestic Utensils,Domestic Utensils (A-Z),,Porringers
279,5,[26],Domestic Utensils,Domestic Utensils (A-Z),,Pots and Pans
280,5,"[26,30]",Domestic Utensils,Domestic Utensils (A-Z),,Rolling Pins
281,5,[26],Domestic Utensils,Domestic Utensils (A-Z),,Salt Shakers
282,5,[26],Domestic Utensils,Domestic Utensils (A-Z),,Sauerkraut Stomper
283,5,[26],Domestic Utensils,Domestic Utensils (A-Z),,Sausage Stuffers
284,5,[26],Domestic Utensils,Domestic Utensils (A-Z),,Scoops
285,5,[26],Domestic Utensils,Domestic Utensils (A-Z),,Skewers and Holders
286,5,"[26,27,30]",Domestic Utensils,Domestic Utensils (A-Z),,Skimmers and Sieves
287,5,[27],Domestic Utensils,Domestic Utensils (A-Z),,Spatula
288,5,"[27,30]",Domestic Utensils,Domestic Utensils (A-Z),,Spoons
289,5,[27],Domestic Utensils,Domestic Utensils (A-Z),,Sugar Cutters
290,5,[27],Domestic Utensils,Domestic Utensils (A-Z),,Tongs
291,5,[27],Domestic Utensils,Domestic Utensils (A-Z),,Traps
292,5,"[28,29,30]",Domestic Utensils,,,Oversize Renderings
293,6,"[1,2,3,4,5,6,7,8,30,35]",Furniture and Decorative Accessories,Furniture,Chairs and Tables,Chairs
294,6,"[8,9,30]",Furniture and Decorative Accessories,Furniture,Chairs and Tables,Settles Settees Sofas and Daybeds
295,6,"[9,10,30]",Furniture and Decorative Accessories,Furniture,Chairs and Tables,Benches and Stools
296,6,"[10,11,12,13,30]",Furniture and Decorative Accessories,Furniture,Chairs and Tables,Tables
297,6,"[13,14,15,31,35]",Furniture and Decorative Accessories,Furniture,Case Furniture,Chests and Boxes
298,6,"[16,17,31,35]",Furniture and Decorative Accessories,Furniture,Case Furniture,Cupboards Cabinets and Shelves
299,6,"[17,31,32]",Furniture and Decorative Accessories,Furniture,Case Furniture,Highboys
300,6,"[18,32]",Furniture and Decorative Accessories,Furniture,Case Furniture,Lowboys and Sideboards
301,6,"[18,19,32]",Furniture and Decorative Accessories,Furniture,Case Furniture,Desks and Secretaries
302,6,"[20,35]",Furniture and Decorative Accessories,Furniture,Beds and Cradles,Beds
303,6,[20],Furniture and Decorative Accessories,Furniture,Beds and Cradles,Cradles
304,6,"[21,32]",Furniture and Decorative Accessories,Furnishing Accessories,Bathtubs,
